,Heart disease_number
1292,2072
2302,3796
761,2222
2194,5484
1241,8686
221,35077
543,1433
2360,165
2250,31557
1803,260
693,16890
1036,640
2020,130
3009,15219
805,734
1614,59
756,1293
1793,32977
272,23840
521,2457
522,1790
2552,903
2658,260
2995,7342
350,690
3069,1293
1832,9013
2430,9041
651,2923
1578,334
2717,61
2042,6669
1228,40556
1179,3913
1213,3783
168,23077
2627,6615
2089,2669
2836,570
912,416
829,863
2684,198
1557,986
1760,630
1373,23497
2345,15260
219,93262
367,104031
3098,8720
1714,221
2390,73
2244,4646
1454,921
351,28883
3136,981
1261,14157
3022,1513
490,10041
2818,2673
2817,3185
498,1050
1811,399
210,20306
2691,1081
746,2499
650,6677
227,12721
365,66065
3072,4466
276,2593
2092,9713
1406,809
1149,1671
1545,260
1840,53850
407,3852
2408,8689
1037,6655
3064,5633
2350,5793
1399,2662
2522,805
2163,876
7,8146
810,1046
1345,2373
1467,1884
415,12677
1094,1603
838,5763
765,14844
2991,7178
199,6652
1114,1709
283,668
231,19834
2420,410
1078,1255
96,6344
2810,387
2970,1572
1770,6329
990,8764
1198,6919
1505,1278
2997,878
2711,6566
1558,1217
2834,1686
104,63461
2341,4043
1933,1857
2570,3358
2655,17
1817,7170
1055,742
1270,207
2573,219
744,2912
226,67657
1034,1052
2044,7585
2412,220
1721,396
1754,3921
2364,1321
2034,1294
1135,1297
785,1566
2514,3235
798,908
1426,132
1041,3422
1771,2687
464,1044
2431,7180
900,596
1251,6377
1766,5071
1216,8300
2023,718
2370,665
1602,4574
212,6567
12,2003
3039,3808
422,6983
999,1573
1052,1164
1057,2212
2848,1175
741,3139
3051,1263
2652,56
3095,1038
1029,623
1429,1295
1776,6716
509,677
644,2173
597,359
2705,592
1159,5992
2753,2782
1850,1716
2771,407
518,1358
2942,12076
887,530
573,1409
3065,682
2856,1148
1225,30840
2884,1875
2843,1314
1271,1348
1583,2195
123,1610
2956,22273
220,139723
3043,6804
358,32863
1391,862
2768,416
2743,816
2054,2699
2178,1072
259,150
2903,5584
2406,181
976,369
2508,10739
1480,1980
1835,4930
2984,14180
2574,436
1651,7913
1743,64
2847,3433
2440,3312
456,1886
462,3605
2335,4960
2453,2232
1662,461
1411,1413
381,43089
2929,1394
1222,8030
1818,1953
1518,464
964,347
1475,1390
1565,1936
2164,3295
59,954
1210,2673
2850,4315
2715,815
1572,18102
2475,3330
2402,312
1980,1805
657,712
2590,8363
845,577
542,690
1472,1205
1951,6246
1307,3973
1962,1765
952,1052
2859,5435
2538,1512
1650,79
1800,11305
1537,3125
3029,3812
1880,4705
2309,2625
2770,3882
2407,147
2982,25990
435,2783
2700,124
237,22248
2254,4375
1117,1190
109,1411
2059,3505
781,3327
2157,201
163,886
288,299
2543,136
252,492
2746,6368
2119,6260
2285,3391
767,2703
787,470
2642,223
1732,394
1106,2024
1071,1338
2765,1463
1937,2926
2448,2698
1116,2371
1032,2905
1283,1906
2966,2633
847,805
2465,2820
2515,8520
461,710
1775,25870
1717,884
157,909
1001,2282
2080,2308
1837,2702
677,522
1866,112422
1027,3373
238,3758
978,299
2179,4966
243,809
100,2538
315,25402
1442,3552
2861,4559
1025,1173
1576,52875
261,2017
2086,2975
2547,3325
195,7805
1972,3497
2171,731
3096,10347
179,1607
834,919
842,2226
2924,555
1577,1532
2097,34842
340,1202
1177,15713
1302,10979
748,2365
1190,12908
662,874
480,1028
803,2652
2245,10491
1080,2989
2940,5144
2553,355
549,20591
3122,435
783,4488
2839,936
2066,2615
742,8730
2531,5150
1896,2840
2392,485
2988,2014
2078,2593
2822,2242
2227,7924
2498,4305
247,402
871,3935
2459,610
1255,1366
2851,4757
626,1252
347,14559
278,1003
2965,4979
2801,9192
655,995
2964,5313
1621,172
907,488
2752,1731
2712,188
1133,4722
911,1448
2161,1491
632,611
1100,904
445,2482
617,1919
1360,1970
1586,4138
1188,2794
3081,7420
1742,236
844,687
2676,56
547,3764
1971,4208
2221,1670
1502,4562
263,27140
1392,1000
2468,1444
2015,660
353,14144
802,1040
208,714
613,1211
2462,4708
2057,3189
1670,564
2878,1148
1268,1382
2481,1750
1674,451
57,5711
1949,2117
811,3026
2577,123684
2303,2818
561,87
2149,4144
229,239
2631,4358
1913,15896
1656,31
538,2122
2974,3135
1195,2106
2223,4857
3036,677
560,180
707,823
1042,1253
424,1809
647,1709
2387,295
1321,3601
1187,3865
2090,17216
1005,5311
620,2802
1894,3832
553,705
2793,949
1554,1233
998,6763
1362,538
1295,1883
2876,912
3124,868
1867,8759
440,5497
508,1019
589,487
1234,1380
649,7429
1642,2177
2886,4757
2206,1275
1455,2946
2354,1498
630,1954
2957,314
482,657
1242,3634
2687,451
2318,1088
2874,721
2030,290
2372,595
856,2262
530,4872
1898,16028
49,1838
858,397
719,1322
1309,16589
1427,1630
2737,115
1446,2554
1627,5548
3044,1987
1436,5024
2344,1270
2256,23274
1381,5031
1110,1828
1124,1421
2248,8090
2757,2675
2130,419
297,508
1421,3296
1330,16729
958,458
2196,3643
1344,1035
1211,8853
349,1184
1921,21568
643,1018
1963,10054
1567,732
669,447
1730,2151
2739,560
2002,275
1723,328
2490,1829
1788,3928
1709,44
786,1980
3083,1145
140,2658
788,244
1720,502
2134,723
714,11210
1476,692
1726,95
1665,495
2567,1086
618,1531
406,6456
1461,407
3133,1603
2727,176
1954,7645
2321,10444
497,1253
342,2936
3084,325
2381,240
782,1813
2118,14942
303,295
1842,3248
664,10091
1808,747
2228,1996
2304,12529
1623,115
84,475
3117,1558
941,1807
961,549
841,1010
3129,3868
2493,762
1289,11594
1412,1689
290,253
2288,1128
1239,10550
604,1004
2377,443
916,1043
2528,1904
2780,10048
1099,2010
1088,5520
2802,150
1748,2456
821,686
2588,6840
1000,3861
1491,5361
18,997
2707,3825
1125,1585
1562,1219
1822,2439
1393,10308
1713,300
1590,1836
1804,66
1948,1251
2120,2643
1885,46990
1009,5599
360,169691
2681,2492
2004,122
1340,1422
1229,1166
1916,11680
1745,1536
344,11879
986,390
1407,1251
1904,1778
2779,61
1886,2548
113,2904
3004,2529
2014,556
2864,4663
85,432
2167,919
668,359
1014,4143
128,614
2661,1440
3120,825
891,976
2019,222
307,42859
383,5184
2176,1426
2290,6516
2230,731
426,1471
494,6899
1207,2656
1746,120639
1208,5301
2550,1017
2308,25143
1397,5256
1447,814
275,400
489,2566
2258,5756
690,3532
2263,14948
1764,4407
1278,52383
2887,1663
2316,737
2183,45307
1058,1324
118,1352
1024,17708
1487,1122
281,8383
1666,232
2895,1853
968,232
2951,1001
1317,365
1784,30634
155,2959
304,12026
3107,1977
2954,4427
1871,12210
1681,356
2351,5829
3031,2633
575,1248
2058,79547
2696,1120
2750,2776
1580,2641
1911,4513
843,10568
2031,52
269,56
629,3033
1033,2274
286,1461
2322,1064
300,170
1506,4040
2011,145
1860,6203
1465,1785
65,911
2812,1663
890,1696
1659,153
1964,3404
1924,797
1361,2254
230,3211
503,1517
1350,266
1507,1075
1608,151
1769,15962
1004,1696
836,2147
1718,218
374,10776
2497,2633
2564,208
2418,93
2003,213
2175,525
751,2728
99,444
1915,2380
866,344
910,227
1474,3232
529,1898
1260,2621
1825,4573
636,880
1269,32341
185,89
1326,606
1641,222
931,24502
1538,841
2410,979
2012,377
2516,1370
1273,1686
2172,2263
607,3108
1929,4329
151,3985
2948,1431
2251,10245
731,1970
2353,18763
1780,29169
2860,15651
23,3103
2470,4118
158,694
861,1360
902,112
1593,166
1230,787
2754,4100
444,41504
3073,1844
754,1542
923,142
3109,5557
2209,2654
311,14446
548,8376
2098,1308
1620,3590
306,40301
287,1200
694,1980
308,10150
3089,8447
749,4212
2971,5393
1385,1885
3125,332
2260,4107
908,4984
86,188
2495,1448
1432,4638
2615,1918
970,3023
13,1117
873,425
808,1246
2702,2112
514,566
2529,406
409,14538
1844,3581
1337,382
2374,317
1459,7786
1587,2153
1498,450
1926,3886
382,1998
1752,331
2297,5513
2706,895
2064,1969
2762,376
2204,524
1511,602
552,369
222,34534
1096,3074
2723,812
8,2618
2967,83688
316,18376
1328,712
427,1793
1488,1946
105,27761
2293,3671
142,1408
121,677
2486,1009
2999,4095
1189,2515
2815,3117
2725,3828
1961,9319
115,457
1566,393
1413,2033
2252,9325
2930,368
3085,46192
1778,39828
1995,4668
672,1072
1691,2997
1813,675
3082,2984
591,693
2606,2173
888,966
1950,6755
2040,1394
2051,2560
213,137712
778,6495
2211,5285
800,1151
2601,1499
1610,5934
1697,51
2398,822
2791,124
1689,45
2998,735
1343,614
273,93
71,103
1988,171
1087,2331
394,1448
583,2469
3028,2778
2117,33444
2409,410
500,917
3128,1036
2334,8267
3118,738
2871,2525
2596,301
1259,2250
1789,14162
2375,708
205,1327
733,2033
1694,78
526,593
1532,299
898,128
377,16450
1918,4837
2897,2205
1690,159
386,596
198,42090
1050,1522
590,4301
519,678
2124,4550
2144,6494
429,1553
1083,3225
207,12913
491,5517
3087,2417
3047,2997
792,1435
2614,7948
1186,2227
1185,1519
1957,2445
1497,643
3052,2302
1410,1167
83,536
2484,2192
2337,4686
20,1050
1909,1072
2071,46814
1739,284
1405,1126
2095,6633
2823,1082
2159,1091
973,1014
2922,976
883,5230
1098,1127
156,673
3123,2360
886,834
3138,500
2678,960
2599,29483
1667,379
2657,1570
2028,247
3134,536
1453,3806
3127,4725
458,795
2148,1719
78,734
3049,12232
1056,1001
906,1194
1744,749
2325,2270
2826,421
380,1183
947,421
2602,1093
2111,5397
715,1744
2858,2661
686,1059
2689,1490
1293,2010
305,540
209,713
3057,21049
2332,1834
3114,1820
2338,1389
885,885
1815,971
917,184
2719,4264
1847,4431
191,1817
1941,4431
2140,1380
1265,3912
483,1613
915,1429
2724,2402
277,14016
988,621
1618,145
1245,2758
1809,1816
571,1248
1435,3141
993,1497
1563,4453
1559,1206
585,801
3076,5753
2355,17184
3132,593
1349,695
1007,1029
674,14351
2540,16223
855,705
447,5407
1582,435
2873,991
1798,2406
2373,1618
2804,1840
2500,14102
1907,2687
2800,1105
2610,1475
1247,4379
294,317
1547,1093
588,998
1281,2297
3070,501
2618,351
2349,2670
2927,7026
2367,134
1417,590
425,1107
534,1437
1054,1400
2378,270
2626,216
1588,1444
132,1481
2236,1721
3035,1411
421,1140
2787,462
2679,279
2272,3085
1368,757
556,559
2404,303
1655,47
2808,509
570,761
352,62563
91,182
2229,19197
2656,356
1170,3248
2166,724
1285,1162
2443,5862
2854,1430
1611,4209
1591,1266
1644,253
697,4489
2628,46347
348,3954
1741,467
2461,2278
2549,1417
2983,3294
1137,2145
2525,587
1616,920
2969,2387
2953,9649
1339,1051
2611,8434
453,11404
913,1666
1199,2267
1274,6482
2053,11684
37,1213
974,9435
2902,6269
983,205
2005,3297
2113,5930
1418,1443
1284,4934
2242,6259
39,2523
1486,896
1983,7953
169,1485
1355,393
737,4442
1731,825
2830,1301
1564,2086
2073,1945
634,1325
2776,2272
2083,14174
1640,1139
1290,3698
2452,3538
1380,11791
579,323
328,33023
3079,1803
892,623
1143,862
780,534
159,740
1725,567
1839,15968
2439,807
61,3349
849,1776
2959,2501
3027,873
1791,26228
1596,587
1043,464
2736,74
1544,1878
2093,1911
1801,2851
1070,960
53,1612
2561,288
258,26398
505,11777
752,395
2121,1869
217,68109
824,691
2918,1092
3137,1034
2671,7
1389,231
2624,498
1266,10495
2585,255
1902,645
1598,449
2451,3080
1607,736
3086,2523
771,1389
2935,8608
1953,1870
3001,1136
1085,445
1910,7035
1710,36
1325,2567
2226,4055
1736,328
1987,1562
1830,5276
1403,655
1868,23641
1869,16250
2319,1497
1163,8218
963,4056
3037,792
1849,124945
398,1208
584,278
948,2176
704,6670
431,5605
1688,117
292,703
145,633
323,111793
2714,1096
2215,8733
1165,7381
1452,2398
2,2159
1712,481
576,9147
2415,146
339,1265
1979,43410
1767,19634
925,1944
265,2453
376,23900
2460,2064
1463,1181
271,94
696,20005
3112,18382
244,23641
2946,4674
476,5894
1883,4071
1914,1592
813,519
1864,3982
2973,4702
2916,2132
3090,4301
1164,510
2359,13022
250,1271
413,5766
545,45399
1193,41823
738,2131
310,44330
1877,74849
893,3446
1131,1594
1449,1460
3042,576
15,3258
2102,3154
721,4612
1420,1487
2761,2778
981,1380
2210,3206
1539,999
2653,4304
1550,913
2663,1461
363,11235
982,419
182,583
985,97
2126,2505
1194,4440
1966,6913
1862,2859
1121,807
187,13119
619,857
2899,2982
1175,6704
1182,2594
2499,4211
2728,1051
614,39688
1513,1277
1466,1060
401,1477
994,663
934,160
371,7011
2084,4523
2298,541
593,4057
2295,9550
726,7363
826,879
1861,18120
687,855
2609,1387
136,2936
3038,2146
628,494
334,9859
1805,313
390,1307
2424,1390
1109,768
2906,3261
2829,2157
710,1565
1039,1453
2077,2093
2050,2063
2720,767
1561,2718
3135,1862
1594,1549
2981,33840
2643,15076
1112,1731
465,1124
1560,2733
1223,65873
2104,2522
3105,1300
2463,1342
1508,1924
1967,9349
1104,7304
660,1986
2816,2584
338,1405
215,1336
1615,264
1341,1942
2637,1342
2471,1692
2937,288
1592,2450
2222,7269
2845,820
2645,2477
816,1116
1067,1165
2131,1167
274,415
2358,2314
865,1106
101,214586
1501,560
2259,2462
171,7365
107,19213
2208,21729
1521,676
3126,554
1826,15887
2313,7179
2107,9644
1960,2856
2778,1060
2114,3608
2365,2157
2760,13347
2699,498
2867,910
295,664
712,7094
72,286
1524,350
2384,442
2685,6852
3020,5877
481,1917
2329,4666
1530,12262
2677,877
1872,8396
1514,1274
3097,1197
1762,3993
1490,7711
1171,1459
2571,135
2029,132
2664,1201
2177,3209
2795,1101
3108,1844
405,858
757,856
2108,2777
2686,1879
2931,4158
97,4681
1333,878
2619,319
743,47200
806,569
2901,1259
2654,417
2621,214400
1535,2677
2185,3730
2212,1869
2458,22389
148,998
2184,3049
2155,305
2315,10671
1315,2596
692,4106
818,612
1728,6521
1386,482
1845,3329
2396,62
2299,3066
1599,394
2476,1013
2576,360
701,1103
1499,5819
2785,2296
921,76
1424,1413
1708,47
905,243
454,801
2186,2496
2846,43440
2419,678
2357,2005
167,726
730,2791
2268,591
1310,110071
2413,160
26,2914
2091,4843
1897,11475
1652,1766
1622,1721
587,432
1401,1091
997,2886
1176,5750
1700,317
1040,1581
33,1380
2009,197
2483,2250
1379,818
41,5840
1876,6391
2106,2102
2786,437
2732,13919
2271,2333
2010,331
1991,61
609,1177
1132,1518
28,1356
441,6227
665,1420
2270,1022
493,1066
1258,3376
1301,12996
2662,402
2480,2254
1382,3596
1304,3262
236,1071
551,4214
520,2982
2328,2899
1232,2280
1138,13013
1905,9916
720,2002
735,7238
2782,535
1750,118
58,10912
631,3256
1181,2845
2314,1806
592,823
1303,4120
1387,610
2742,78
2758,648
2247,23631
2340,2073
939,733
2921,445
1249,2913
904,2208
2667,1830
1279,2029
2517,2454
3013,2181
2234,2027
2591,40686
2584,743
1142,7375
2496,5182
706,1925
2769,4033
1022,765
745,717
1546,1805
1939,864
2472,26639
2147,4996
3093,2722
513,1935
81,97
2990,1450
1308,5231
2616,308
914,1695
1404,2255
1647,54
2891,2516
1108,2805
150,1790
2857,846
774,1003
329,5087
6,1588
2001,167
943,799
822,471
734,1794
909,201
468,1794
181,5173
164,1871
1523,1010
451,37762
1311,2442
1111,4308
1287,4410
327,12381
1790,7128
2784,519
2007,176
1858,14899
312,7162
832,621
1201,2152
2429,1293
2067,2276
2438,2632
1481,1408
777,1058
799,657
54,2064
1920,4139
2710,988
2608,566
1701,372
2993,1390
987,124
2262,13248
1394,691
768,1323
2781,845
285,2806
2766,22735
428,33226
2079,3907
722,2267
951,595
989,272
2925,1149
2132,379
326,16378
1383,810
1724,669
1086,1088
341,2112
147,821
3015,2632
1107,1109
848,1296
966,2653
2583,187
661,2208
1002,625
2456,1204
2639,612
2783,326
1879,3189
2950,1532
1203,11985
1990,504
24,5694
2943,6178
2129,1982
2181,824
2414,758
875,485
2825,4983
938,209
2629,2662
3110,1196
385,1387
2630,1341
2307,1767
2306,22204
936,113
2704,7430
3060,2551
1332,2220
1934,2663
935,1343
566,728
1854,3466
2794,1463
1645,403
2225,22773
1792,5782
1430,647
2436,2467
1013,1528
1928,28630
2362,233
126,3077
2738,221
1347,924
355,621
827,671
1639,541
984,399
362,5805
345,75432
2162,549
2665,1478
711,2441
2421,508
10,3181
2533,1963
2116,24483
1834,3292
793,6845
2896,4850
94,5693
129,996
2827,4945
3040,881
1900,10037
2510,667
1932,8506
2862,222
1865,4906
1658,607
516,1698
1857,13400
1277,1037
950,173
1120,11910
419,3151
922,465
2310,9775
477,2078
2035,179
2287,38374
1692,479
2323,19360
1471,1862
1202,12626
1669,390
2907,2317
1970,2699
2151,317
820,1058
1997,272
3002,3268
1248,1226
2789,383
2190,2424
2740,95392
1046,48398
1888,10622
615,1165
1318,2969
3019,2374
2136,2124
2579,987
1772,15928
3088,2453
131,6488
77,3351
2052,9400
724,3870
1314,2070
1851,3802
2411,6372
2607,84
1372,698
1855,64227
1319,1418
3008,3603
2281,20299
375,39011
1908,1171
333,18848
2366,339
2416,401
1604,672
1118,7002
2961,3699
1943,3449
2376,1153
2644,350
1342,2954
320,12102
1619,2105
2905,821
2060,2390
2219,1249
1673,993
1942,5441
260,10518
2469,1106
2039,312
689,973
901,520
2026,924
138,2562
1917,2949
1828,78363
1573,862
319,1712
653,2600
2137,6953
2437,1138
558,4982
2187,1257
112,14170
531,5052
224,30855
723,12292
2635,343
2694,3880
1433,872
2638,103
2512,1655
1458,622
2832,1287
846,605
193,47503
1464,1225
946,1768
2021,480
1629,1030
117,934
645,2271
1870,6619
3,1533
74,153
1755,407
467,759
5,804
1246,2891
919,354
228,10904
1063,4915
242,18745
2394,256
1160,3501
2636,6117
1526,2994
1605,120
2917,10944
2442,1112
2668,219
1989,686
2467,672
1975,3074
1761,3796
1305,785
1541,1141
622,404
2428,1562
1493,653
110,1665
2275,1711
2379,364
1169,3724
2580,417
232,25091
66,2062
2838,15980
2072,4447
2192,1021
536,238
125,4384
2133,1318
1254,2388
2605,395
1976,345
2581,32828
2441,3779
2075,1713
484,437
1654,27
2805,2252
2380,194
2881,1166
1774,22505
918,201
1646,325
1026,3496
1030,1363
882,1138
1335,1970
2333,1757
364,3576
2125,7211
27,7643
473,2435
525,4031
725,2468
55,1796
638,6373
302,1448
3101,3573
1276,513
2763,8219
624,2341
2055,7875
1280,4297
1049,9575
336,3376
47,7011
106,2930
1079,2647
2286,9790
2261,5767
1144,2025
2501,1693
2296,2544
1836,4202
1753,370
1101,1177
